Country Name,Country Code_x,MPA,Share of global plastics emitted to ocean,Year: ,Indicator code:,Unnamed: 6,Indicator name:,Country Code_y,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023,Data Source,World Development Indicators
Puerto Rico,PRI,1.747,0.007248907,,,,,PRI,Total fisheries production (metric tons),ER.FSH.PROD.MT,1867.46,1571.66,1656.93,1531.3,1590.69,1591.0,1592.29,,,
Portugal,PRT,16.565,0.007759393,,,,,PRT,Total fisheries production (metric tons),ER.FSH.PROD.MT,196332.25,195123.72,192261.18,198739.85,180530.97,199045.26,180858.56,,,
Qatar,QAT,1.682,0.0,,,,,QAT,Total fisheries production (metric tons),ER.FSH.PROD.MT,14523.7,15368.6,14675.3,17152.0,15109.3,16668.4,18536.85,,,
Romania,ROU,23.096,0.008167783,,,,,ROU,Total fisheries production (metric tons),ER.FSH.PROD.MT,25302.03,27796.2,23477.45,23775.18,20172.88,18064.6,17467.2,,,
Saudi Arabia,SAU,2.494,0.000306292,,,,,SAU,Total fisheries production (metric tons),ER.FSH.PROD.MT,115095.0,122946.0,122875.0,141039.8,157711.61,181948.66,184107.69,,,
Sudan,SDN,15.964,0.010822312,,,,,SDN,Total fisheries production (metric tons),ER.FSH.PROD.MT,41502.0,47390.0,51041.0,49770.0,46660.0,49970.0,53250.0,,,
Senegal,SEN,1.115,0.017254441,,,,,SEN,Total fisheries production (metric tons),ER.FSH.PROD.MT,476251.17,535950.31,485762.67,517151.27,459463.46,515107.63,535356.29,,,
Singapore,SGP,0.013,0.016743954,,,,,SGP,Total fisheries production (metric tons),ER.FSH.PROD.MT,7346.35,6943.81,7011.4,7249.08,5184.44,5549.88,4952.61,,,
Solomon Islands,SLB,0.117,0.010209728,,,,,SLB,Total fisheries production (metric tons),ER.FSH.PROD.MT,76158.86,54774.5,68166.61,73910.88,46409.67,62293.02,59717.39,,,
Sierra Leone,SLE,0.538,0.370000551,,,,,SLE,Total fisheries production (metric tons),ER.FSH.PROD.MT,202185.0,202185.0,202200.0,202200.0,200745.0,205025.0,215285.0,,,
El Salvador,SLV,0.705,0.082494604,,,,,SLV,Total fisheries production (metric tons),ER.FSH.PROD.MT,66513.77,70627.97,68044.66,61592.74,68052.39,71768.74,73033.99,,,
Somalia,SOM,9.79,0.000204195,,,,,SOM,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,
Sao Tome and Principe,STP,0.027,0.007861491,,,,,STP,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,
Suriname,SUR,1.543,0.171217143,,,,,SUR,Total fisheries production (metric tons),ER.FSH.PROD.MT,43165.1,48690.75,39371.4,31457.5,29809.0,32170.0,33740.0,,,
Slovenia,SVN,100.0,0.00112307,,,,,SVN,Total fisheries production (metric tons),ER.FSH.PROD.MT,2169.22,2030.17,2207.24,2425.26,1984.62,1954.7,1915.96,,,
Sweden,SWE,15.369,0.003675502,,,,,SWE,Total fisheries production (metric tons),ER.FSH.PROD.MT,221212.0,243519.0,234757.0,195916.3,191833.1,182769.32,163355.28,,,
Seychelles,SYC,15.657,0.0,,,,,SYC,Total fisheries production (metric tons),ER.FSH.PROD.MT,127547.76,142653.18,146623.48,142169.39,139647.59,144232.35,137838.33,,,
Togo,TGO,0.2,0.044514415,,,,,TGO,Total fisheries production (metric tons),ER.FSH.PROD.MT,31989.0,27047.0,24910.0,26526.0,18764.0,18866.0,22656.22,,,
Thailand,THA,1.881,2.328430622,,,,,THA,Total fisheries production (metric tons),ER.FSH.PROD.MT,2495764.87,2388032.35,2458068.89,2490448.92,2600397.33,2405437.6,2386672.33,,,
Tonga,TON,0.058,0.0,,,,,TON,Total fisheries production (metric tons),ER.FSH.PROD.MT,1626.03,1471.0,1324.39,1302.61,1202.32,1215.21,1426.03,,,
Trinidad and Tobago,TTO,0.049,0.363160033,,,,,TTO,Total fisheries production (metric tons),ER.FSH.PROD.MT,13127.04,12949.58,13191.79,12995.71,12916.85,13102.37,13076.41,,,
Tunisia,TUN,1.036,0.07024293,,,,,TUN,Total fisheries production (metric tons),ER.FSH.PROD.MT,125930.0,129829.99,136949.19,155205.2,145453.1,150342.65,149631.44,,,
Tanzania,TZA,3.015,0.590632779,,,,,TZA,Total fisheries production (metric tons),ER.FSH.PROD.MT,145052.23,144872.46,139711.22,133380.0,125972.0,142129.0,159271.0,,,
Ukraine,UKR,3.415,0.087701566,,,,,UKR,Total fisheries production (metric tons),ER.FSH.PROD.MT,97283.44,113650.08,95102.41,100334.34,88034.9,79930.12,37350.93,,,
Uruguay,URY,0.716,0.101893088,,,,,URY,Total fisheries production (metric tons),ER.FSH.PROD.MT,51621.39,65378.62,69830.11,68126.28,62977.77,66384.5,68872.65,,,
United States,USA,41.057,0.248198493,,,,,USA,Total fisheries production (metric tons),ER.FSH.PROD.MT,5289437.5,5465607.0,5268019.35,5320578.85,4717511.61,4769525.12,4741659.94,,,
Samoa,WSM,0.087,0.0,,,,,WSM,Total fisheries production (metric tons),ER.FSH.PROD.MT,8820.0,10865.12,9756.63,11228.76,9964.17,9186.42,9603.24,,,
South Africa,ZAF,14.563,0.435547007,,,,,ZAF,Total fisheries production (metric tons),ER.FSH.PROD.MT,630184.32,536264.08,578377.82,456228.55,613435.48,504475.87,484805.53,,,
Zimbabwe,ZWE,9.79,0.0,,,,,ZWE,Total fisheries production (metric tons),ER.FSH.PROD.MT,50857.39,49167.41,48066.29,46925.27,47947.89,27791.82,34514.01,,,
