Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
1/11/2004,Townsville,Ship,Fishing,Port,South Townsville,Diesel,Unknown
5/11/2004,Brisbane,Ship,Commercial,Coastal Waters,"Public boat ramp, Kings Beach, Caloundra",Diesel,Unknown
6/11/2004,Brisbane,Unknown,Unknown,Port,"Bulimba Reach, Teneriffe, Brisbane River",Other,Unknown
15/11/2004,Brisbane,Unknown,Unknown,Coastal Waters,Manly Boat Harbour ,Sheen,Unknown
17/11/2004,Brisbane,Unknown,Unknown,Port,Bretts Wharf to Breakfast Creek,Diesel,Unknown
19/11/2004,Gladstone,Ship,Fishing,Port,"2 cables SSE of Turtle Island, Gladstone Harbour",Diesel,Unknown
20/11/2004,Brisbane,Ship,Recreational,Coastal Waters,"Wood canal, Aquatic Paradise, Birkdale",Diesel,Unknown
21/11/2004,Mackay,Ship,Trading,Port,Hay Point Anchorage,Bilge,Unknown
23/11/2004,Brisbane,Unknown,Unknown,Coastal Waters,"Gardens Pt moorings, Town Reach, Brisbane River ",Sheen,Unknown
6/12/2004,Brisbane,Ship,Recreational,Coastal Waters,"1 mile, Stradbroke Island",Other,Unknown
9/12/2004,Mackay,Ship,Recreational,GBRMP,Repulse Bay leading into Laguna Quays marina,Sheen,Unknown
25/12/2004,Brisbane,Unknown,Unknown,Port,"Brisbane River, Bulimba Reach- Bartons Rd, Hawthorne",Sheen,Unknown
26/12/2004,Townsville,Ship,Trading,GBRMP,Palm Passage,HFO,Unknown
29/12/2004,Cairns,Ship,Fishing,Port,Trinity Petroleum Fuel Berth,Sheen,300
31/01/2005,Brisbane,Unknown,Unknown,Coastal Waters,"Weinam Creek, Redland Bay (near old water taxi terminal)",Diesel,50
1/02/2005,Brisbane,Land,n/a,Coastal Waters,"Storm Water Drain into Brisbane River, New Farm (100m upstream Merthyr Rd)",Other,Unknown
1/02/2005,Townsville,Unknown,Unknown,Port,"Ross Creek, adjacent to Motor Boat Club, Tomlin St",Sheen,Unknown
3/02/2005,Brisbane,Ship,Recreational,Coastal Waters,"Raby Bay Marina, Endeavour Canal, Raby Bay",Sheen,Unknown
9/02/2005,Brisbane,Unknown,Unknown,Coastal Waters,"Stanford Plaza, Downstream from Botanical Gardens",Sheen,Unknown
19/02/2005,Brisbane,Unknown,Unknown,Port,"Bulimba Reach, Brisbane River",Sheen,Unknown
24/02/2005,Brisbane,Land,n/a,Port,"Boat Passabe , Whyte Island, Brisbane River",Sheen,Unknown
24/02/2005,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Diesel,Unknown
24/02/2005,Cairns,Ship,Customs,Port,"Main Wharf, Thursday Island",Diesel,300
25/02/2005,Cairns,Ship,Trading,GBRMP," Inner Route, North of Cairns",Bilge,Unknown
7/03/2005,Cairns,Land,n/a,Coastal Waters,"Badu Island, Torres Strait",Diesel,Unknown
9/03/2005,Brisbane,Ship,Recreational,Coastal Waters,"Newport Waterways Marina, Scarborough",Bilge,
30/03/2005,Brisbane,Unknown,Unknown,Coastal Waters,"Cabbage Tree Creek, Sandgate",Sheen,Unknown
30/03/2005,Cairns,Ship,Fishing,Port,"Trinity Inlet, Cairns - betwenCoconut Slipway & Redbank Ck",Diesel,10
1/04/2005,Cairns,Unknown,Unknown,Port,"Commercial Fishermans Base 2, Smiths Creek, Cairns",Diesel,5
11/04/2005,Brisbane,Land,n/a,Port,"Caincross Bockyard, Brisbane River",Bilge,40
14/04/2005,Brisbane,Unknown,Unknown,Port,Fishermans Islands #3,Sheen,Unknown
16/04/2005,Brisbane,Unknown,Unknown,Port,"Caincross Dockyard, Brisbane River",Sheen,Unknown
19/04/2005,Cairns,Ship,Defence,Port,HMAS Cairns base form HMAS Ipswich,Diesel,100
22/04/2005,Brisbane,Unknown,Unknown,Coastal Waters,"Browns Slipway, Nooloola River",Sheen,Unknown
4/05/2005,Mackay,Ship,Recreational,Coastal Waters,"Marble Island, Duke Group",Diesel,2000
5/05/2005,Cairns,Ship,Unknown,Port,Thursday Island Harbour,Sheen,Unknown
11/05/2005,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Sandgate",Diesel,Unknown
20/05/2005,Cairns,Ship,Unknown,Port,"Marlin Marina, Cairns",Bilge,Unknown
20/05/2005,Cairns,Unknown,Unknown,Coastal Waters,Port Douglas,Sheen,Unknown
2/06/2005,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Sandgate",Sheen,Unknown
15/06/2005,Brisbane,Unknown,Unknown,Coastal Waters,"Petrie Bight, Brisbane River",Sheen,Unknown
20/06/2005,Brisbane,Unknown,Unknown,Port,Scarborough Harbour,Sheen,Unknown
29/06/2005,Brisbane,Land,Unknown,Port,"Fishermans Islands, Brisbane",Diesel,Unknown
17/07/2005,Cairns,Ship,Commercial,Port,Thursday Island Harbour,Diesel,180
10/08/2005,Cairns,Unknown,Unknown,Port,Marlin Marina Cairns,Fatty Substance,Unknown
