Data Source,World Development Indicators,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,
,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021,2022,2023
Iceland,ISL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.380335278189585,0.380335278189585,0.380436,0.421106,0.424580783,0.4272036,
Israel,ISR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0325519366905822,0.0325519366905822,0.032552,0.042507,0.042506821,0.0425068,
Italy,ITA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,8.7946484947005,8.7946484947005,8.77793,9.735907,9.735966682,10.611516,
Jamaica,JAM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.754597261190083,0.754597261190083,0.754596,0.754596,0.754464388,0.7716407,
Jordan,JOR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,35.5909103031074,35.5909103031074,35.71784,0.982071,0.982071519,0.9820715,
Japan,JPN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,8.23376220860353,8.23376220860353,8.233762,8.233667,13.89171028,13.8917103,
Kazakhstan,KAZ,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.04921248631761,1.04921248631761,1.049212,50.72809,50.72809219,50.7280922,
Kenya,KEN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.804183961345371,0.804183961345371,0.804181,0.762877,0.762877524,0.7314262,
Kyrgyz Republic,KGZ,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Cambodia,KHM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.18576737726616,0.18576737726616,0.185768,1.441558,1.441557646,1.4415576,
Kiribati,KIR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,11.8179006386751,11.8179006386751,11.8179,11.8179,11.81516457,11.8151646,
St. Kitts and Nevis,KNA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.169900821555798,0.169900821555798,3.977533,3.977533,3.977533102,3.9775331,
"Korea, Rep.",KOR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.63364032173735,1.63364032173735,2.430444,2.455245,2.455245018,2.455245,
Kuwait,KWT,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.47927564445082,1.47927564445082,1.364254,1.364254,1.364254355,1.3642544,
Latin America & Caribbean (excluding high income),LAC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,18.2913806570277,18.2913805841199,19.5819574711329,19.6958561972349,19.6958718090479,,
Lao PDR,LAO,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Lebanon,LBN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.21142857872149,0.21142857872149,0.21143,0.21143,0.225288525,0.2252885,
Liberia,LBR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.10334249125498,0.10334249125498,0.103343,0.103343,0.103342623,0.1033426,
Libya,LBY,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.636429927635224,0.636429927635224,0.636429,0.633679,0.633679271,0.6336793,
St. Lucia,LCA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.218554217784975,0.218554217784975,0.21855,0.21855,0.218549892,0.2185499,
Latin America & Caribbean,LCN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,17.5376233663056,17.5376233415847,19.1776306491561,19.3648152559719,19.4253302966495,,
Least developed countries: UN classification,LDC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Low income,LIC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Liechtenstein,LIE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Sri Lanka,LKA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0746256541871951,0.0746256541871951,0.074626,0.074626,0.074625649,0.0746256,
Lower middle income,LMC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.41650074806007,1.41641896447483,1.54856881316975,1.39705413510566,1.60302713173883,,
